dpid	is_food	hp_cal_dt	dpid	gender	age_range	occupation_dm	city_name	phone_model	brand	mobile_os	begin_hour	end_hour	cnt_search	ugc_reviewcnt	ugc_notecnt	ugc_checkincnt	ugc_freshcnt
1cc1007d31224866b62972b361ea7457a155479816812662663	0	2021-08-29	1cc1007d31224866b62972b361ea7457a155479816812662663	male	20~25	其他	上海	NULL	NULL	ios	22:59	22:59	NULL	NULL	NULL	NULL	NULL
1cc1441b114940e191fb873a9854df41a159301581522297070	0	2021-08-29	1cc1441b114940e191fb873a9854df41a159301581522297070	female	30~35	其他	中山	NULL	NULL	android	16:59	16:59	NULL	90	17	1	1
1cc2a08f83924640a0ea1998dc9a9894a156624421395990050	0	2021-08-29	1cc2a08f83924640a0ea1998dc9a9894a156624421395990050	female	20~25	其他	上海	NULL	NULL	android	19:59	19:59	6	1	1	1	1
1cc3143b0ab74baf992aab1c453f9622a151865579090730851	0	2021-08-29	1cc3143b0ab74baf992aab1c453f9622a151865579090730851	female	30~35	白领	北京	NULL	NULL	ios	12:59	12:59	4	181	29	1	1
1cc4506f22384cc48bb40f637ae06522a158013420111363090	0	2021-08-29	1cc4506f22384cc48bb40f637ae06522a158013420111363090	female	25~30	白领	杭州	NULL	NULL	ios	12:59	12:59	1	32	18	1	2
1cc4ead6e6de435d93ea3187d29df88fa157313259912076347	1	2021-08-29	1cc4ead6e6de435d93ea3187d29df88fa157313259912076347	female	30~35	其他	佛山	NULL	NULL	android	22:59	22:59	4	25	43	1	5
1cc4f250703c4df4bfe254f9395676e3a154724083950553070	1	2021-08-29	1cc4f250703c4df4bfe254f9395676e3a154724083950553070	female	25~30	其他	佛山	NULL	NULL	android	09:59	09:59	NULL	1	1	1	1
1cc50fd5b32a482da9d72860e14eee7aa160753824375972288	0	2021-08-29	1cc50fd5b32a482da9d72860e14eee7aa160753824375972288	male	35~40	其他	嘉峪关	NULL	NULL	android	22:59	22:59	NULL	NULL	NULL	NULL	NULL
1cc66ff167c448d8854d997fe0ff88daa161549449655276940	0	2021-08-29	1cc66ff167c448d8854d997fe0ff88daa161549449655276940	male	NULL	其他	郴州	NULL	NULL	android	22:59	22:59	NULL	1	1	1	1
1cc72c79a0264a1498da7e9d9610e430a162816485048117169	1	2021-08-29	1cc72c79a0264a1498da7e9d9610e430a162816485048117169	female	35~40	其他	沈阳	NULL	NULL	ios	19:59	19:59	3	22	2	1	1
1cc8e55470ef4ae486a78b3af6ef05eda160355207672033169	0	2021-08-29	1cc8e55470ef4ae486a78b3af6ef05eda160355207672033169	male	25~30	白领	北京	NULL	NULL	ios	19:59	19:59	1	1	5	1	2
1ccb41b52b874a89bee2382a2e3e80aaa160532360815399930	1	2021-08-29	1ccb41b52b874a89bee2382a2e3e80aaa160532360815399930	male	25~30	白领	上海	NULL	NULL	android	19:59	19:59	3	4	1	1	3
1ccc3583b74f48f89744a19c7d9a110ca155019286763278426	0	2021-08-29	1ccc3583b74f48f89744a19c7d9a110ca155019286763278426	female	40以上	其他	北京	NULL	NULL	android	19:59	19:59	1	2	1	1	1
1ccc359922c14ee7ad275cceedaafbac0000000000010805722	0	2021-08-29	1ccc359922c14ee7ad275cceedaafbac0000000000010805722	female	25~30	白领	杭州	NULL	NULL	ios	22:59	22:59	1	1	1	1	1
1cce09207afc4608861e4f5f98546a63a161810633157656347	0	2021-08-29	1cce09207afc4608861e4f5f98546a63a161810633157656347	male	20~25	其他	昌吉市	NULL	NULL	android	14:59	14:59	2	4	1	1	1
